x	P0	P1	Spline	Akima	GSL
3.5	2	3	4.13433	3.77474	4.13433
3.52	2	2.98667	4.1237	3.76066	4.1237
3.54	2	2.97333	4.11267	3.74631	4.11267
3.56	2	2.96	4.10123	3.73168	4.10123
3.58	2	2.94667	4.08937	3.71678	4.08937
3.6	2	2.93333	4.0771	3.7016	4.0771
3.62	2	2.92	4.06441	3.68616	4.06441
3.64	2	2.90667	4.0513	3.67044	4.0513
3.66	2	2.89333	4.03776	3.65445	4.03776
3.68	2	2.88	4.0238	3.63819	4.0238
3.7	2	2.86667	4.0094	3.62166	4.0094
3.72	2	2.85333	3.99457	3.60487	3.99457
3.74	2	2.84	3.9793	3.5878	3.9793
3.76	2	2.82667	3.96359	3.57047	3.96359
3.78	2	2.81333	3.94744	3.55287	3.94744
3.8	2	2.8	3.93084	3.535	3.93084
3.82	2	2.78667	3.91379	3.51687	3.91379
3.84	2	2.77333	3.89629	3.49847	3.89629
3.86	2	2.76	3.87833	3.47981	3.87833
3.88	2	2.74667	3.85992	3.46088	3.85992
3.9	2	2.73333	3.84104	3.44169	3.84104
3.92	2	2.72	3.82169	3.42224	3.82169
3.94	2	2.70667	3.80188	3.40253	3.80188
3.96	2	2.69333	3.78159	3.38255	3.78159
3.98	2	2.68	3.76084	3.36232	3.76084
4	2	2.66667	3.7396	3.34182	3.7396
4.02	2	2.65333	3.71788	3.32107	3.71788
4.04	2	2.64	3.69568	3.30005	3.69568
4.06	2	2.62667	3.67299	3.27878	3.67299
4.08	2	2.61333	3.64981	3.25725	3.64981
4.1	2	2.6	3.62614	3.23547	3.62614
4.12	2	2.58667	3.60197	3.21343	3.60197
4.14	2	2.57333	3.5773	3.19113	3.5773
4.16	2	2.56	3.55213	3.16858	3.55213
4.18	2	2.54667	3.52645	3.14577	3.52645
4.2	2	2.53333	3.50027	3.12272	3.50027
4.22	2	2.52	3.47357	3.0994	3.47357
4.24	2	2.50667	3.44636	3.07584	3.44636
4.26	2	2.49333	3.41863	3.05203	3.41863
4.28	2	2.48	3.39037	3.02796	3.39037
4.3	2	2.46667	3.3616	3.00364	3.3616
4.32	2	2.45333	3.33229	2.97908	3.33229
4.34	2	2.44	3.30246	2.95426	3.30246
4.36	2	2.42667	3.27209	2.9292	3.27209
4.38	2	2.41333	3.24119	2.90389	3.24119
4.4	2	2.4	3.20974	2.87833	3.20974
4.42	2	2.38667	3.17776	2.85253	3.17776
4.44	2	2.37333	3.14522	2.82648	3.14522
4.46	2	2.36	3.11214	2.80019	3.11214
4.48	2	2.34667	3.07851	2.77365	3.07851
4.5	2	2.33333	3.04432	2.74687	3.04432
4.52	2	2.32	3.00957	2.71984	3.00957
4.54	2	2.30667	2.97426	2.69257	2.97426
4.56	2	2.29333	2.93838	2.66506	2.93838
4.58	2	2.28	2.90194	2.63731	2.90194
4.6	2	2.26667	2.86493	2.60932	2.86493
4.62	2	2.25333	2.82734	2.58109	2.82734
4.64	2	2.24	2.78917	2.55262	2.78917
4.66	2	2.22667	2.75043	2.52391	2.75043
4.68	2	2.21333	2.7111	2.49496	2.7111
4.7	2	2.2	2.67119	2.46578	2.67119
4.72	2	2.18667	2.63068	2.43636	2.63068
4.74	2	2.17333	2.58959	2.4067	2.58959
4.76	2	2.16	2.5479	2.37681	2.5479
4.78	2	2.14667	2.50561	2.34669	2.50561
4.8	2	2.13333	2.46271	2.31633	2.46271
4.82	2	2.12	2.41922	2.28573	2.41922
4.84	2	2.10667	2.37511	2.25491	2.37511
4.86	2	2.09333	2.33039	2.22385	2.33039
4.88	2	2.08	2.28506	2.19256	2.28506
4.9	2	2.06667	2.23911	2.16104	2.23911
4.92	2	2.05333	2.19254	2.12929	2.19254
4.94	2	2.04	2.14535	2.09731	2.14535
4.96	2	2.02667	2.09753	2.0651	2.09753
4.98	2	2.01333	2.04908	2.03266	2.04908
5	2	2	2	2	2
5.02	-1	1.94	1.95028	1.9666	1.95028
5.04	-1	1.88	1.89995	1.93197	1.89995
5.06	-1	1.82	1.849	1.89611	1.849
5.08	-1	1.76	1.79745	1.85903	1.79745
5.1	-1	1.7	1.74532	1.82075	1.74532
5.12	-1	1.64	1.69261	1.78127	1.69261
5.14	-1	1.58	1.63935	1.7406	1.63935
5.16	-1	1.52	1.58554	1.69875	1.58554
5.18	-1	1.46	1.53119	1.65573	1.53119
5.2	-1	1.4	1.47632	1.61156	1.47632
5.22	-1	1.34	1.42095	1.56623	1.42095
5.24	-1	1.28	1.36507	1.51975	1.36507
5.26	-1	1.22	1.30872	1.47215	1.30872
5.28	-1	1.16	1.25189	1.42342	1.25189
5.3	-1	1.1	1.19461	1.37358	1.19461
5.32	-1	1.04	1.13688	1.32264	1.13688
5.34	-1	0.98	1.07872	1.2706	1.07872
5.36	-1	0.92	1.02013	1.21747	1.02013
5.38	-1	0.86	0.961146	1.16327	0.961146
5.4	-1	0.8	0.901763	1.108	0.901763
5.42	-1	0.74	0.841999	1.05167	0.841999
5.44	-1	0.68	0.781865	0.994297	0.781865
5.46	-1	0.62	0.721375	0.935882	0.721375
5.48	-1	0.56	0.660542	0.876437	0.660542
5.5	-1	0.5	0.599378	0.815972	0.599378
5.52	-1	0.44	0.537896	0.754496	0.537896
5.54	-1	0.38	0.476109	0.692018	0.476109
5.56	-1	0.32	0.414029	0.628548	0.414029
5.58	-1	0.26	0.35167	0.564094	0.35167
5.6	-1	0.2	0.289043	0.498667	0.289043
5.62	-1	0.14	0.226162	0.432275	0.226162
5.64	-1	0.08	0.163039	0.364928	0.163039
5.66	-1	0.02	0.0996869	0.296635	0.0996869
5.68	-1	-0.04	0.0361189	0.227406	0.0361189
5.7	-1	-0.1	-0.0276527	0.15725	-0.0276527
5.72	-1	-0.16	-0.0916151	0.086176	-0.0916151
5.74	-1	-0.22	-0.155756	0.0141936	-0.155756
5.76	-1	-0.28	-0.220061	-0.058688	-0.220061
5.78	-1	-0.34	-0.28452	-0.132459	-0.28452
5.8	-1	-0.4	-0.349118	-0.207111	-0.349118
5.82	-1	-0.46	-0.413844	-0.282634	-0.413844
5.84	-1	-0.52	-0.478684	-0.359019	-0.478684
5.86	-1	-0.58	-0.543626	-0.436256	-0.543626
5.88	-1	-0.64	-0.608657	-0.514336	-0.608657
5.9	-1	-0.7	-0.673764	-0.59325	-0.673764
5.92	-1	-0.76	-0.738935	-0.672988	-0.738935
5.94	-1	-0.82	-0.804157	-0.753542	-0.804157
5.96	-1	-0.88	-0.869417	-0.834901	-0.869417
5.98	-1	-0.94	-0.934702	-0.917057	-0.934702
6	-1	-1	-1	-1	-1
